Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
DPMD Jayawardene,,,,,,,,,,,,
MJ Johnston,2007-2012,75,17,18.75,0,7,2/5,27.85,0,2,0,-9.10
CJ Jordan,,,,,,,,,,,,
T Kelly,2021-2024,409,43,20.45,0,-,-,-,-,12,0,-
HP Kingston,,,,,,,,,,,,
M Klinger,2006-2019,5960,126*,34.45,8,-,-,-,-,83,0,-
B Laughlin,,,,,,,,,,,,
TL Lawford,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JS Lehmann,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TP Ludeman,2011-2018,941,92*,26.13,0,-,-,-,-,31,4,-
CA Lynn,2010-2025,8526,113*,32.91,6,3,2/15,31.00,0,72,0,1.91
NM Lyon,2011-2023,60,11,5.45,0,57,5/23,21.87,1,15,0,-16.42
BE McGain,2008-2012,11,6*,11.00,0,14,2/10,25.42,0,4,0,-14.42
BAD Manenti,2018-2025,182,30,11.37,0,22,2/13,39.22,0,14,0,-27.85
HJ Manenti,2022-2025,331,65,20.68,0,34,5/31,11.64,1,10,0,9.04
JM Muirhead,2012-2018,15,6,7.50,0,17,3/25,19.05,0,8,0,-11.55
MG Neser,2011-2025,739,64*,14.21,0,145,4/25,23.90,0,65,0,-9.69
HJ Nielsen,2018-2024,459,50,20.86,0,-,-,-,-,31,3,-
BS Oakley,,-,-,-,-,0,-,-,0,2,0,-
AW O'Brien,,,,,,,,,,,,
LN O'Connor,,,,,,,,,,,,
J Overton,2015-2025,1687,83*,20.57,0,133,5/47,27.20,1,95,0,-6.62
DA Payne,2010-2025,279,28,7.15,0,276,5/24,21.67,1,50,0,-14.52
KA Pollard,2006-2025,14216,104,31.87,1,333,4/15,25.33,0,397,0,6.53
L Pope,2018-2025,11,5,2.20,0,59,4/22,25.84,0,8,0,-23.64
OJ Pope,2017-2025,1720,99*,27.74,0,-,-,-,-,36,3,-
GD Putland,,,,,,,,,,,,
AU Rashid,,,,,,,,,,,,
Rashid Khan,,,,,,,,,,,,
NJ Reardon,,,,,,,,,,,,
MT Renshaw,2018-2025,1800,90*,26.08,0,9,1/2,36.44,0,35,0,-10.35
KW Richardson,2009-2025,404,45,11.22,0,240,4/22,23.45,0,77,0,-12.22
AI Ross,2014-2025,2819,89*,28.19,0,-,-,-,-,55,0,-
Saeed Ajmal,2005-2017,240,21*,8.00,0,271,4/14,17.36,0,31,0,-9.36
DR Salpietro,,21,12,7.00,0,1,1/28,120.00,0,2,0,-112.99
PD Salt,2016-2025,7763,141*,28.12,4,-,-,-,-,165,14,-
L Scott,2020-2025,100,67,20.00,0,2,1/23,62.50,0,1,0,-42.49
Shakib Al Hasan,,,,,,,,,,,,
DJM Short,2016-2025,5401,122*,33.13,2,68,5/21,32.92,1,74,0,0.20
MW Short,2014-2025,3342,109,27.85,2,54,5/22,29.25,1,75,0,-1.40
PM Siddle,,,,,,,,,,,,
CJ Simmons,2006-2015,711,112,25.39,2,3,2/26,29.33,0,5,0,-3.94
JD Smith,2007-2012,20,15,10.00,0,1,1/15,15.00,0,0,0,-4.99
KR Smith,2014-2018,50,41*,25.00,0,1,1/17,24.00,0,2,0,1.00
IS Sodhi,2013-2025,469,51,8.22,0,316,6/11,24.41,1,69,0,-16.18
B Stanlake,2015-2025,35,7,7.00,0,91,4/8,27.17,0,12,0,-20.17
SW Tait,,,,,,,,,,,,
RN ten Doeschate,2003-2021,7597,121*,29.33,2,114,4/24,25.63,0,134,0,3.70
AC Thomas,2004-2015,410,30*,12.05,0,263,5/24,21.81,1,67,0,-9.75
HTRJY Thornton,2017-2025,44,28*,11.00,0,49,5/3,20.30,1,7,0,-9.30
C Valente,2018-2021,84,21,16.80,0,8,2/36,39.75,0,1,0,-22.94
J Weatherald,2016-2025,2324,115,25.82,1,-,-,-,-,35,0,-
JW Wells,2011-2025,3253,73,32.20,0,0,-,-,0,50,0,-
GA West,2016-2018,0,0*,-,0,2,2/24,42.50,0,1,0,-
CL White,2005-2020,5469,141*,30.72,2,26,4/10,27.23,0,98,0,3.49
DJ Worrall,2014-2025,178,62*,11.86,0,104,4/23,28.69,0,27,0,-16.82
BE Young,,12,9*,12.00,0,5,2/37,24.00,0,0,0,-11.99
A Zampa,2012-2025,310,23,5.96,0,386,6/19,21.53,3,43,0,-15.57
TB Abell,2016-2025,3715,101*,29.25,1,2,1/11,50.00,0,98,0,-20.74
TP Alsop,2016-2025,2229,87*,27.51,0,-,-,-,-,37,5,-
S Badree,,,,,,,,,,,,
T Banton,2017-2025,4703,107*,27.02,4,-,-,-,-,101,10,-
XC Bartlett,2020-2025,411,59*,17.12,0,102,4/10,22.01,0,38,0,-4.89
SW Billings,2011-2025,7238,106,24.04,1,-,-,-,-,237,32,-
J Brown,2022-2025,945,140,23.62,1,0,-,-,0,13,0,-
M Bryant,2018-2025,1566,81,23.02,0,-,-,-,-,30,0,-
ND Buchanan,,,,,,,,,,,,
JA Burns,2012-2025,1905,108*,25.40,1,3,1/8,23.66,0,38,0,1.73
DT Christian,2006-2025,5848,129,22.66,2,281,5/14,28.95,2,186,0,-6.28
J Clayton,,21,15,10.50,0,-,-,-,-,0,0,-
BCJ Cutting,,,,,,,,,,,,
JL Denly,2004-2025,7107,127,27.02,5,53,4/19,27.22,0,111,0,-0.20
AB de Villiers,2004-2021,9424,133*,37.24,4,-,-,-,-,230,18,-
PG Dooley,2022-2024,54,19,13.50,0,25,4/16,21.60,0,4,0,-8.09
BM Duckett,2012-2025,5397,96,30.49,0,-,-,-,-,107,2,-
RM Duffield,2012-2015,1,1,1.00,0,6,3/28,35.66,0,2,0,-34.66
Fakhar Zaman,2013-2025,8017,115,28.53,3,4,1/3,40.50,0,135,0,-11.96
AL Fekete,,,,,,,,,,,,
LW Feldman,2011-2017,25,12*,12.50,0,21,2/19,29.71,0,7,0,-17.21
A Flintoff,2004-2015,683,93,22.76,0,39,4/12,21.20,0,19,0,1.56
JS Floros,2011-2018,225,42,15.00,0,3,2/35,93.33,0,6,0,-78.33
PJ Forrest,2009-2015,575,62*,23.00,0,-,-,-,-,17,0,-
CJ Gannon,2012-2025,134,23,10.30,0,49,4/10,25.89,0,14,0,-15.59
DMK Grant,,1,1*,-,0,3,3/20,16.00,0,0,0,-
L Gregory,2011-2025,3139,76*,21.06,0,214,5/24,26.00,1,113,0,-4.93
L Guthrie,2021-2025,17,11*,8.50,0,6,2/32,45.33,0,3,0,-36.83
SR Hain,2016-2025,5053,112*,38.57,1,-,-,-,-,87,0,-
RJ Harris,2007-2014,239,31,10.86,0,81,4/34,21.54,0,23,0,-10.67
CD Hartley,2006-2016,312,35,17.33,0,-,-,-,-,34,8,-
NM Hauritz,2006-2015,102,23*,12.75,0,35,3/18,30.51,0,21,0,-17.76
ML Hayden,2005-2012,1632,93,36.26,0,-,-,-,-,18,0,-
SD Heazlett,2015-2023,898,74*,18.70,0,0,-,-,0,23,0,-
JR Hopes,2005-2016,1468,71,22.58,0,67,3/23,33.65,0,22,0,-11.07
SH Johnson,2023-2025,90,27,8.18,0,85,5/26,22.94,1,19,0,-14.75
UT Khawaja,2010-2025,3292,109*,30.20,3,-,-,-,-,29,0,-
C Kieswetter,2007-2014,3367,89*,31.76,0,-,-,-,-,76,21,-
MP Kuhnemann,,,,,,,,,,,,
M Labuschagne,2017-2025,1358,93*,27.16,0,39,5/11,19.56,1,36,0,7.59
JK Lalor,2012-2022,140,14,7.77,0,66,5/26,27.96,1,20,0,-20.19
DW Lawrence,2015-2025,3488,120*,25.09,1,57,4/20,24.17,0,60,0,0.91
BB McCullum,2005-2019,9922,158*,29.97,7,0,-,-,0,153,14,-
AC McDermott,2009-2015,7,5,1.75,0,29,4/37,23.10,0,7,0,-21.35
BR McDermott,2014-2025,4913,127,29.95,3,-,-,-,-,106,15,-
RH McDonald,,-,-,-,-,1,1/21,21.00,0,1,0,-
S McGiffin,,20,14*,20.00,0,0,-,-,0,1,0,-
NA McSweeney,,,,,,,,,,,,
S Milenko,,,,,,,,,,,,
TS Mills,2012-2025,237,30,6.07,0,320,4/13,23.36,0,39,0,-17.29
M Morkel,2005-2021,213,23*,8.52,0,207,4/17,25.29,0,27,0,-16.77
Mujeeb Ur Rahman,2017-2025,410,34,8.72,0,293,5/15,23.64,2,50,0,-14.92
C Munro,2010-2025,11616,120,30.25,6,31,4/15,33.38,0,134,0,-3.13
SD Parry,2009-2020,133,15*,11.08,0,123,5/13,25.47,1,27,0,-14.39
JL Pattinson,2010-2022,125,27*,7.35,0,63,5/33,26.66,1,16,0,-19.31
SJ Paulsen,2006-2012,111,45,37.00,0,0,-,-,0,1,0,-
JJ Peirson,2014-2024,1818,72*,22.17,0,-,-,-,-,67,17,-
NLTC Perera,2008-2025,4873,103*,21.09,1,282,5/26,27.15,2,160,0,-6.05
LD Pfeffer,,109,69,27.25,0,-,-,-,-,2,0,-
LA Pomersbach,2006-2014,1228,112*,26.12,1,-,-,-,-,21,0,-
JA Prestwidge,2019-2023,149,33,14.90,0,17,2/15,29.05,0,6,0,-14.15
W Prestwidge,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KAJ Roach,2008-2018,59,12,7.37,0,28,3/18,43.89,0,18,0,-36.51
AW Robinson,,123,44,17.57,0,-,-,-,-,2,0,-
CJM Sabburg,2013-2022,69,19*,13.80,0,0,-,-,0,8,0,-
Shadab Khan,2016-2025,3402,91,18.59,0,345,5/28,23.83,1,122,0,-5.24
LMP Simmons,2007-2022,7756,116,29.83,2,23,4/19,25.95,0,116,0,3.87
MT Steketee,2014-2025,199,33,7.37,0,104,5/17,23.04,1,22,0,-15.67
CR Swan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MJ Swepson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RE van der Merwe,2008-2025,3143,89*,21.38,0,338,6/20,23.89,2,150,0,-2.51
DL Vettori,2006-2015,1041,57,16.01,0,131,4/20,26.13,0,40,0,-10.12
CA Wakim,2018-2025,125,43,13.88,0,0,-,-,0,3,0,-
PI Walter,2016-2025,2446,78,19.72,0,116,3/20,27.29,0,86,0,-7.56
SR Watson,2004-2020,8821,124*,29.30,6,216,4/15,27.02,0,101,0,2.27
RA Whiteley,2011-2025,3648,91*,23.08,0,10,3/23,33.10,0,93,0,-10.01
T Whitney,,,,,,,,,,,,
JD Wildermuth,2016-2022,308,31,10.62,0,42,3/16,34.92,0,10,0,-24.30
JP Wood,2020-2025,117,45,19.50,0,2,2/28,20.50,0,1,0,-0.99
Yasir Shah,2008-2025,463,44,8.73,0,134,4/7,29.45,0,47,0,-20.71
Zahir Khan,2017-2025,106,19*,4.60,0,142,5/19,24.05,1,13,0,-19.44
CJ Anderson,2009-2025,3244,95*,24.20,0,46,2/10,34.06,0,62,0,-9.85
JC Archer,2016-2025,715,36,14.30,0,225,4/18,23.47,0,57,0,-9.17
Asif Ali,,,,,,,,,,,,
GJ Bailey,2006-2020,4127,89*,28.86,0,0,-,-,0,84,0,-
M Bean,,,,,,,,,,,,
TR Birt,,,,,,,,,,,,
SM Boland,,,,,,,,,,,,
DE Bollinger,2006-2017,69,17,6.27,0,139,4/13,25.47,0,36,0,-19.20
TT Bresnan,,,,,,,,,,,,
SCJ Broad,2006-2017,152,18*,7.60,0,100,4/24,21.44,0,26,0,-13.83
HC Brook,2018-2025,3792,105*,33.26,3,1,1/13,26.00,0,94,0,7.26
N Chaudhary,2017-2025,538,55,21.52,0,16,3/36,34.06,0,9,0,-12.54
MJ Cosgrove,2006-2019,3112,89,24.89,0,10,2/11,32.00,0,26,0,-7.10
JM Cox,2019-2025,3510,139*,30.78,1,-,-,-,-,102,7,-
Z Crawley,2018-2025,2381,108*,27.36,1,-,-,-,-,48,0,-
TH David,2018-2025,5833,102*,30.86,1,15,1/0,64.06,0,170,0,-33.20
XJ Doherty,2006-2017,138,33,17.25,0,62,4/17,32.11,0,22,0,-14.86
AJ Doolan,2009-2019,409,70*,17.04,0,-,-,-,-,18,0,-
JR Doran,2014-2025,111,28,12.33,0,-,-,-,-,2,0,-
NT Ellis,,,,,,,,,,,,
Faheem Ashraf,2015-2025,2203,55,17.48,0,232,6/19,26.03,3,84,0,-8.55
JP Faulkner,2009-2022,1953,73,21.46,0,262,5/16,22.80,3,69,0,-1.33
JA Freeman,,-,-,-,-,1,1/26,37.00,0,0,0,-
EP Gulbis,2011-2019,475,61*,19.00,0,20,3/29,38.95,0,19,0,-19.94
PSP Handscomb,2012-2025,2120,103*,22.55,1,-,-,-,-,65,15,-
P Hatzoglou,2020-2025,86,15,14.33,0,64,3/14,29.56,0,19,0,-15.22
MA Higgs,,-,-,-,-,0,-,-,0,0,0,-
BW Hilfenhaus,2006-2017,205,38*,9.31,0,117,5/23,22.20,1,21,0,-12.88
MW Hill,2011-2016,308,64,25.66,0,-,-,-,-,9,0,-
MG Hogan,2010-2023,84,17*,8.40,0,154,5/17,23.21,2,52,0,-14.81
SD Hope,,,,,,,,,,,,
WG Jacks,2018-2025,6120,108*,29.00,5,80,4/15,22.68,0,112,0,6.31
PA Jaques,2003-2014,2061,92,28.62,0,0,-,-,0,19,0,-
CP Jewell,2018-2025,1569,76,22.73,0,-,-,-,-,26,0,-
J Kann,,-,-,-,-,1,1/40,76.00,0,1,0,-
JJ Krejza,2007-2013,165,33*,13.75,0,30,3/13,25.00,0,8,0,-11.24
S Lamichhane,2018-2025,142,16*,6.76,0,225,5/9,16.90,1,35,0,-10.14
TA Lammonby,2019-2025,1007,90,19.00,0,15,2/32,31.33,0,46,0,-12.33
RJG Lockyear,2006-2012,449,64,16.62,0,5,2/20,22.80,0,7,0,-6.17
DJ Malan,2006-2025,10501,117,32.81,5,23,2/10,31.39,0,132,0,1.42
AD Mascarenhas,2003-2014,1356,57*,19.09,0,152,5/14,20.61,2,30,0,-1.51
JM Mennie,2012-2020,22,5,2.44,0,21,3/20,27.14,0,6,0,-24.69
RP Meredith,2018-2025,48,10,4.80,0,189,4/9,22.31,0,26,0,-17.51
DP Michael,2013-2022,250,63*,20.83,0,4,2/37,26.00,0,3,0,-5.16
DA Miller,2008-2025,11476,120*,35.09,4,0,-,-,0,321,1,-
DJM Moody,2019-2023,8,8,8.00,0,9,3/16,26.55,0,1,0,-18.55
Naved-ul-Hasan,2005-2014,1037,95,19.56,0,153,5/17,20.00,1,46,0,-0.43
JDS Neesham,2010-2025,4441,97*,23.49,0,260,5/22,25.03,1,124,0,-1.54
MJ Owen,2021-2025,1095,108,25.46,2,26,5/17,26.84,1,25,0,-1.38
TD Paine,2006-2022,1647,91,22.87,0,-,-,-,-,57,16,-
JS Paris,,,,,,,,,,,,
W Parker,2020-2023,47,25*,11.75,0,1,1/42,185.00,0,1,0,-173.24
KMA Paul,2017-2025,1262,56,16.82,0,92,5/15,30.86,1,59,0,-14.04
RT Ponting,2004-2013,909,98*,22.72,0,1,1/11,23.00,0,17,0,-0.27
Qais Ahmad,2017-2025,741,50*,12.35,0,198,5/18,23.37,1,66,0,-11.02
SL Rainbird,2015-2022,34,15,4.85,0,17,3/37,39.35,0,8,0,-34.49
JK Reed,2015-2017,8,8*,-,0,16,4/11,17.31,0,2,0,-
TS Rogers,,,,,,,,,,,,
CA Rose,2012-2020,183,32*,15.25,0,28,2/14,48.32,0,17,0,-33.07
DJG Sammy,2006-2020,3918,71*,20.40,0,160,5/26,28.28,1,123,0,-7.88
W Sanders,,-,-,-,-,0,-,-,0,0,0,-
KC Sangakkara,2004-2020,6937,94,29.27,0,-,-,-,-,167,60,-
OA Shah,,5,3,1.66,0,-,-,-,-,1,0,-
Shoaib Malik,2005-2025,13571,95*,35.99,0,187,5/13,27.70,2,238,0,8.29
SB Styris,2005-2014,4020,106*,25.76,2,125,3/5,29.09,0,47,0,-3.32
AW Summers,,-,-,-,-,0,-,-,0,1,0,-
JA Thompson,2018-2025,1262,74,17.05,0,131,5/21,25.21,1,44,0,-8.15
TIF Triffitt,2011-2015,202,25*,12.62,0,-,-,-,-,22,1,-
T van der Gugten,2012-2025,599,48,13.31,0,165,5/21,23.52,1,41,0,-10.21
MS Wade,,,,,,,,,,,,
Waqar Salamkheil,2018-2025,23,7,11.50,0,113,4/14,21.49,0,7,0,-9.99
BJ Webster,2017-2025,1814,78,27.48,0,25,4/29,41.36,0,52,0,-13.87
NP Winter,2014-2021,0,0*,0.00,0,7,3/19,20.85,0,1,0,-20.85
M Wright,2018-2025,543,70*,24.68,0,1,1/28,53.00,0,13,0,-28.31
Abdul Razzaq,,,,,,,,,,,,
A Ayre,,0,0,0.00,0,-,-,-,-,0,0,-
TM Beaton,2010-2016,301,41*,23.15,0,-,-,-,-,7,0,-
JG Bethell,2021-2025,1484,87,24.32,0,18,2/5,26.50,0,43,0,-2.17
DJ Bravo,2006-2024,6970,70*,22.33,0,631,5/23,24.40,2,275,0,-2.06
MJ Buchanan,,11,11,11.00,0,-,-,-,-,0,0,-
JC Buttler,2009-2025,13474,124,35.74,8,-,-,-,-,287,49,-
UBT Chand,2010-2025,2097,125,23.30,3,-,-,-,-,59,3,-
JM Clarke,2015-2025,5918,136,26.18,4,-,-,-,-,91,7,-
MJJ Critchley,2016-2025,2130,80*,20.48,0,128,5/28,25.64,1,46,0,-5.16
XA Crone,2022-2025,2,1,1.00,0,0,-,-,0,0,0,-
Q de Kock,2011-2025,11421,140*,31.20,7,-,-,-,-,286,57,-
HT Dixon,,,,,,,,,,,,
F du Plessis,2007-2025,11906,120*,32.88,8,50,5/19,18.34,2,211,0,14.54
LJ Evans,2009-2025,7305,118*,29.69,3,1,1/5,35.00,0,149,4,-5.30
Z Evans,2020-2022,8,6,4.00,0,13,5/33,21.61,1,7,0,-17.61
AJ Finch,2009-2024,11458,172,33.60,8,7,1/9,52.71,0,164,0,-19.11
J Fraser-McGurk,2020-2025,1689,95,20.34,0,0,-,-,0,48,0,-
MG Gale,,5,4*,5.00,0,5,4/10,27.00,0,1,0,-21.99
CH Gayle,2005-2022,14562,175*,36.22,22,83,4/22,31.54,0,104,0,4.68
RJ Gleeson,2016-2025,65,8,4.64,0,149,5/33,23.55,1,25,0,-18.90
MJ Guptill,2006-2025,9900,120*,31.83,6,0,-,-,0,194,0,-
HF Gurney,2009-2019,27,6,3.85,0,190,5/30,22.58,1,18,0,-18.72
SB Harper,2016-2025,1623,89,19.79,0,-,-,-,-,55,10,-
AG Harriott,,-,-,-,-,-,-,-,-,2,0,-
MS Harris,2014-2025,1012,85,19.46,0,-,-,-,-,20,0,-
MW Harvey,2018-2025,704,71*,20.11,0,-,-,-,-,25,0,-
SM Harwood,2006-2012,101,20*,16.83,0,48,3/13,22.47,0,6,0,-5.64
Hassan Khan,2017-2025,963,57,19.65,0,63,4/30,31.19,0,42,0,-11.53
AK Heal,2007-2012,54,13,6.00,0,26,2/13,22.15,0,5,0,-16.15
JM Herrick,2012-2013,0,0,0.00,0,0,-,-,0,1,0,-
GB Hogg,2004-2018,351,54,15.26,0,140,4/9,24.75,0,32,0,-9.48
AJ Hosein,2014-2025,1059,55*,15.57,0,224,5/11,25.41,1,47,0,-9.84
BAC Howell,2011-2025,3247,62*,22.39,0,255,5/18,23.12,1,112,0,-0.73
Imad Wasim,2006-2025,4327,92*,21.52,0,377,5/14,24.59,2,110,0,-3.06
RP Kellepotha,,2,1*,-,0,3,2/32,25.00,0,0,0,-
AB McDonald,2006-2016,1743,96*,31.69,0,82,5/13,23.01,1,33,0,8.67
BG McDonald,,-,-,-,-,1,1/28,28.00,0,0,0,-
NJ Maddinson,2011-2023,2498,87,20.30,0,13,3/20,20.15,0,57,0,0.15
GA Manou,2006-2012,304,43,10.85,0,-,-,-,-,24,11,-
SE Marsh,2006-2024,7050,115,37.90,2,0,-,-,0,66,0,-
GJ Maxwell,2010-2025,10846,154*,27.81,8,194,3/10,29.79,0,259,0,-1.98
J Merlo,2019-2024,65,15,6.50,0,0,-,-,0,3,0,-
SF Mire,,,,,,,,,,,,
Mohammad Nabi,2010-2025,6516,89,21.08,0,388,5/15,24.82,1,217,0,-3.73
M Muralidaran,2005-2014,81,11,3.37,0,179,4/16,22.03,0,31,0,-18.66
TS Muyeye,2022-2025,1420,100,23.27,1,-,-,-,-,23,0,-
DP Nannes,2007-2015,66,12*,8.25,0,257,5/31,22.25,2,34,0,-14.00
SP Narine,2011-2025,4654,109,15.51,1,599,5/19,22.04,1,128,0,-6.52
PM Nevill,2010-2021,374,33,14.38,0,-,-,-,-,22,9,-
Noor Ahmad,2019-2025,221,20,6.13,0,209,5/11,21.51,2,40,0,-15.37
F O'Neill,,54,16*,10.80,0,10,3/16,24.10,0,3,0,-13.29
SR Patel,2003-2025,6939,90*,24.60,0,364,4/5,26.54,0,118,0,-1.93
DJ Pattinson,2007-2013,40,12*,6.66,0,73,5/25,21.28,1,17,0,-14.62
OJ Peake,,65,,,,,1/29,,0,,,
M Perry,2021-2025,-,-,-,-,3,1/22,28.00,0,1,0,-
NJ Rimmington,2006-2020,214,26,9.72,0,135,5/27,23.26,1,27,0,-13.53
CJ Rocchiccioli,,1,1,1.00,0,6,2/25,25.66,0,2,0,-24.66
BJ Rohrer,2008-2018,1677,64*,26.20,0,0,-,-,0,33,0,-
RR Rossouw,2008-2025,9434,121,29.20,9,3,1/3,10.66,0,159,0,18.54
AD Russell,2010-2025,9449,121*,26.32,2,496,5/15,25.87,1,238,0,0.44
MN Samuels,2006-2018,4571,106*,31.96,2,70,3/10,27.95,0,45,0,4.00
GS Sandhu,2012-2025,110,20*,9.16,0,77,4/22,26.09,0,19,0,-16.92
TL Seifert,2014-2025,6584,125*,28.50,4,-,-,-,-,181,37,-
J Seymour,,154,25,15.40,0,0,-,-,0,0,0,-
Shahid Afridi,2004-2022,4399,101,18.25,1,347,5/7,22.78,2,97,0,-4.53
WD Sheridan,2011-2013,67,15*,13.40,0,11,3/28,24.54,0,7,0,-11.14
BJ Stepien,,-,-,-,-,-,-,-,-,0,0,-
CAH Stevenson,2015-2024,30,17,7.50,0,6,1/15,30.16,0,3,0,-22.66
BA Stokes,2010-2024,3027,107*,24.41,2,93,4/16,30.91,0,74,0,-6.50
C Stow,,,,,,,,,,,,
W Sutherland,2018-2025,838,70,18.21,0,46,3/14,36.67,0,34,0,-18.45
RJW Topley,2012-2025,122,14*,12.20,0,240,4/20,23.37,0,41,0,-11.17
CP Tremain,2012-2021,80,37*,13.33,0,46,3/9,31.45,0,12,0,-18.12
Usman Shinwari,2013-2025,153,36*,10.92,0,128,5/9,25.13,2,26,0,-14.20
GL Walker,,-,-,-,-,0,-,-,0,0,0,-
Ahmed Daniyal,2021-2025,82,24,10.25,0,39,4/28,29.76,0,8,0,-19.51
J Avendano,2019-2022,251,52,14.76,0,-,-,-,-,0,0,-
MA Beer,2011-2019,40,11*,10.00,0,50,3/13,32.36,0,10,0,-22.35
JM Bird,2012-2025,107,14*,8.91,0,89,4/16,26.71,0,40,0,-17.80
TA Boult,2009-2025,307,23*,10.96,0,329,4/13,25.31,0,97,0,-14.34
L Bowe,2017-2020,2,2*,1.00,0,11,2/23,30.72,0,1,0,-29.72
HWR Cartwright,2012-2025,2611,79,28.38,0,4,2/34,52.00,0,69,0,-23.61
JR Coleman,2018-2020,-,-,-,-,11,3/16,16.54,0,0,0,-
BL Couch,,,,,,,,,,,,
NM Coulter-Nile,2009-2024,693,42*,12.15,0,191,4/10,23.03,0,51,0,-10.87
TK Curran,,,,,,,,,,,,
LA Dawson,2008-2025,2888,82,17.60,0,270,5/17,25.39,1,125,0,-7.78
TJ Dean,2018-2022,50,32,16.66,0,-,-,-,-,0,0,-
JW Dernbach,2005-2021,194,24*,7.46,0,183,4/22,26.66,0,41,0,-19.20
Dilbar Hussain,2020-2023,37,13*,18.50,0,22,4/24,24.54,0,4,0,-6.04
SM Elliott,,2,2,2.00,0,0,-,-,0,0,0,-
D Fallins,,-,-,-,-,0,-,-,0,0,0,-
ADS Fletcher,2006-2025,8513,118,28.85,5,3,2/22,26.33,0,165,23,2.52
SE Gotch,2014-2021,417,48,17.37,0,-,-,-,-,19,8,-
Haris Rauf,2018-2025,393,34*,8.18,0,334,5/27,22.26,1,68,0,-14.07
JW Hastings,2007-2018,877,80*,16.86,0,116,4/26,24.70,0,25,0,-7.84
LC Hatcher,2020-2024,45,20,9.00,0,27,3/25,26.25,0,2,0,-17.25
SO Henry,,6,6,6.00,0,-,-,-,-,0,0,-
CD Hinchliffe,2019-2023,98,25*,8.90,0,19,3/19,25.42,0,9,0,-16.51
DJ Hussey,2004-2017,6097,100*,30.03,1,68,3/25,26.35,0,129,0,3.68
AR Keath,2013-2015,40,30,13.33,0,0,-,-,0,2,0,-
C Kellaway,2022-2024,83,25,13.83,0,0,-,-,0,3,0,-
NCR Larkin,,,,,,,,,,,,
CJ McKay,2008-2017,299,21*,11.50,0,144,5/11,22.38,1,20,0,-10.88
SL Malinga,2004-2020,426,37*,8.03,0,390,6/7,19.68,5,54,0,-11.65
H McKenzie,,17,7*,8.50,0,3,2/12,46.00,0,0,0,-37.49
AF Milne,2010-2025,498,22,11.06,0,247,5/11,23.54,3,53,0,-12.47
Mohammad Hafeez,2005-2023,7946,102*,25.79,2,202,4/10,24.00,0,111,0,1.78
LR Morris,2020-2025,3,2,1.00,0,40,5/24,22.95,1,7,0,-21.94
TL O'Connell,2019-2024,12,9*,4.00,0,5,2/11,27.40,0,4,0,-23.39
