Team,Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Role,
Manchester Originals,J Hull,2024-2024,26,12*,13,0,24,'3/28,27.04,0,4,0,-14.04,Bowler,
Manchester Originals,J Overton,2023-2024,1601,83*,21.06,0,118,'5/47,27.64,1,87,0,-6.57,All-Rounder,
Manchester Originals,JB Little,2022-2023,220,27*,12.94,0,160,'5/13,23.41,1,47,0,-10.47,Bowler,
Manchester Originals,JC Buttler,2021-2023,12613,124,35.62,8,0,0,0,0,263,45,0,Batter,
Manchester Originals,JC Tongue,2023-2023,4,2*,4,0,15,'3/32,26.46,0,5,0,-22.46,Bowler,
Manchester Originals,JM Clarke,2021-2021,5269,136,25.82,4,0,0,0,0,84,6,0,Batter,
Manchester Originals,LH Ferguson,2021-2021,288,30,11.07,0,218,'5/21,22.31,1,48,0,-11.23,Bowler,
Manchester Originals,LJ Evans,2022-2023,6961,118*,30,3,1,'1/5,35,0,138,1,-4.99,All-Rounder,
Manchester Originals,MDE Holden,2023-2024,2030,121*,26.71,2,0,0,0,0,29,0,0,Batter,
Manchester Originals,MF Hurst,2024-2024,441,78,22.05,0,0,0,0,0,11,1,0,Batter,
Manchester Originals,MT Stanley,2022-2022,10,7,5,0,12,'2/24,27.75,0,0,0,-22.74,Bowler,
Manchester Originals,MW Parkinson,2021-2022,81,18,4.5,0,155,'4/9,18.89,0,14,0,-14.39,Bowler,
Manchester Originals,PD Salt,2021-2024,6918,119,27.12,3,0,0,0,0,154,14,0,Batter,
Manchester Originals,PI Walter,2022-2024,2094,78,19.94,0,105,'3/20,25.2,0,78,0,-5.26,All-Rounder,
Manchester Originals,RJ Gleeson,2022-2023,57,8,5.18,0,129,'5/33,23.76,1,21,0,-18.58,Bowler,
Manchester Originals,SA Abbott,2022-2022,929,110*,11.91,1,250,'5/16,20.88,2,100,0,-8.97,All-Rounder,
Manchester Originals,SR Hain,2021-2021,4576,112*,38.77,1,0,0,0,0,79,0,0,Batter,
Manchester Originals,ST Finn,2021-2021,79,11*,8.77,0,176,'5/16,22.43,1,43,0,-13.65,Bowler,
Manchester Originals,SW Currie,2024-2024,82,26*,13.66,0,55,'4/24,20.2,0,17,0,-6.53,Bowler,
Manchester Originals,Sikandar Raza,2024-2024,5985,133*,26.25,1,178,'5/18,27.01,1,121,0,-0.76,All-Rounder,
Manchester Originals,T Stubbs,2022-2022,2829,80*,32.51,0,11,'2/6,29.9,0,78,3,2.6,All-Rounder,
Manchester Originals,TA Lammonby,2021-2022,904,90,18.83,0,15,'2/32,30.53,0,44,0,-11.69,All-Rounder,
Manchester Originals,TH Aspinwall,2024-2024,27,18*,13.5,0,5,'4/18,32.4,0,1,0,-18.89,Bowler,
Manchester Originals,TW Hartley,2021-2024,273,39,11.37,0,73,'4/16,26.41,0,35,0,-15.03,Bowler,
Manchester Originals,Usama Mir,2023-2024,488,39,8.71,0,171,'6/40,23.31,1,57,0,-14.6,Bowler,
Manchester Originals,WL Madsen,2022-2024,4965,109*,30.64,2,22,'2/20,36.81,0,80,0,-6.17,All-Rounder,
Manchester Originals,Zaman Khan,2023-2023,75,9*,7.5,0,131,'4/16,24.3,0,22,0,-16.8,Bowler,
Northern Superchargers,A Lyth,2021-2023,4817,161,24.82,1,25,'5/31,27.36,1,102,0,-2.53,All-Rounder,
Northern Superchargers,AJ Hose,2022-2024,3916,119,28.79,2,0,0,0,0,79,0,0,Batter,
Northern Superchargers,AU Rashid,2021-2024,970,36*,11.41,0,362,'4/2,22.76,0,84,0,-11.35,All-Rounder,
Northern Superchargers,BA Carse,2021-2023,783,58,17.02,0,53,'3/23,35.32,0,33,0,-18.29,All-Rounder,
Northern Superchargers,BA Raine,2021-2022,1391,113,18.54,1,132,'5/21,24.11,1,25,0,-5.56,All-Rounder,
Northern Superchargers,BA Stokes,2021-2024,3027,107*,24.41,2,93,'4/16,30.91,0,74,0,-6.5,All-Rounder,
Northern Superchargers,BJ Dwarshuis,2024-2024,845,66,18.36,0,183,'5/21,23.36,2,34,0,-4.99,All-Rounder,
Northern Superchargers,CA Lynn,2021-2021,8304,113*,32.43,5,3,'2/15,31,0,72,0,1.43,All-Rounder,
Northern Superchargers,CF Parkinson,2021-2024,317,27*,11.32,0,148,'4/20,22.03,0,22,0,-10.71,Bowler,
Northern Superchargers,CN Miles,2022-2022,58,11*,7.25,0,67,'4/29,23.82,0,34,0,-16.57,Bowler,
Northern Superchargers,D Wiese,2022-2023,4464,79*,23.01,0,324,'5/19,25.82,7,146,0,-2.81,All-Rounder,
Northern Superchargers,DJ Bravo,2022-2022,6970,70*,22.33,0,631,'5/23,24.4,2,275,0,-2.06,All-Rounder,
Northern Superchargers,DJ Vilas,2021-2021,4235,75*,28.04,0,0,0,0,0,116,30,0,Batter,
Northern Superchargers,DJ Willey,2021-2022,4286,118,22.32,2,333,'4/7,23.32,0,145,0,-1,All-Rounder,
Northern Superchargers,DY Pennington,2024-2024,68,10*,7.55,0,55,'4/9,28.76,0,19,0,-21.2,Bowler,
Northern Superchargers,F du Plessis,2022-2022,11404,120*,32.58,6,50,'5/19,18.34,2,206,0,14.24,All-Rounder,
Northern Superchargers,G Clark,2024-2024,3156,102*,25.45,2,0,0,0,0,43,0,0,Batter,
Northern Superchargers,HC Brook,2021-2024,3449,105*,32.84,3,1,'1/13,26,0,90,0,6.84,All-Rounder,
Northern Superchargers,J Clark,2024-2024,1211,60,20.18,0,75,'4/22,29.01,0,45,0,-8.82,All-Rounder,
Northern Superchargers,JA Simpson,2021-2022,2859,84*,21.65,0,0,0,0,0,94,30,0,Batter,
Northern Superchargers,JA Thompson,2021-2021,1087,74,16.72,0,119,'5/21,24.76,1,40,0,-8.04,All-Rounder,
Northern Superchargers,MA Jones,2024-2024,1082,86,24.04,0,0,0,0,0,18,0,0,Batter,
Northern Superchargers,MD Fisher,2021-2021,61,19,8.71,0,46,'5/22,27.1,1,12,0,-18.39,Bowler,
Northern Superchargers,MJ Potts,2021-2024,203,40*,16.91,0,63,'3/8,26.2,0,19,0,-9.28,Bowler,
Northern Superchargers,MJ Santner,2024-2024,2374,92*,22.82,0,220,'4/11,24.43,0,86,0,-1.6,All-Rounder,
Northern Superchargers,MS Pepper,2022-2022,2237,120*,26.63,2,0,0,0,0,36,2,0,Batter,
Northern Superchargers,MW Short,2023-2024,2982,109,26.62,2,48,'5/22,30.18,1,71,0,-3.56,All-Rounder,
Northern Superchargers,Mujeeb Ur Rahman,2021-2021,357,34,8.3,0,276,'5/15,23.68,2,47,0,-15.38,Bowler,
Northern Superchargers,N Pooran,2024-2024,9052,102*,29.29,3,0,0,0,0,230,35,0,Batter,
Northern Superchargers,OG Robinson,2024-2024,163,31,9.58,0,63,'4/15,27.36,0,24,0,-17.77,Bowler,
Northern Superchargers,PR Brown,2024-2024,64,10*,8,0,127,'4/21,23.88,0,32,0,-15.88,Bowler,
Northern Superchargers,RE van der Merwe,2022-2022,3075,89*,21.35,0,328,'6/20,24.08,2,149,0,-2.73,All-Rounder,
Northern Superchargers,RJW Topley,2023-2024,117,14*,11.7,0,230,'4/20,23.2,0,38,0,-11.5,Bowler,
Northern Superchargers,SA Zaib,2023-2023,1266,92,25.32,0,12,'3/12,33.5,0,35,0,-8.17,All-Rounder,
Northern Superchargers,T Banton,2023-2023,4232,107*,27.66,4,0,0,0,0,90,10,0,Batter,
Northern Superchargers,T Kohler-Cadmore,2021-2021,5766,127,28.12,1,0,0,0,0,115,3,0,Batter,
Northern Superchargers,TE Lawes,2024-2024,29,12,7.25,0,8,'2/17,50,0,7,0,-42.74,Bowler,
Northern Superchargers,WD Parnell,2022-2023,2200,99,18.48,0,317,'5/30,25.4,1,71,0,-6.91,All-Rounder,
Northern Superchargers,Wahab Riaz,2022-2022,1700,53,13.49,0,413,'5/8,22.63,3,101,0,-9.14,All-Rounder,
Oval Invincibles,A Zampa,2023-2024,309,23,6.18,0,363,'6/19,21.72,3,42,0,-15.54,Bowler,
Oval Invincibles,AAP Atkinson,2023-2024,98,14,8.9,0,72,'4/20,21.26,0,16,0,-12.35,Bowler,
Oval Invincibles,AJ Blake,2021-2021,2257,71*,20.51,0,1,'1/17,96,0,89,0,-75.48,All-Rounder,
Oval Invincibles,CA Ingram,2021-2021,8672,127*,28.52,4,40,'4/32,32.97,0,118,0,-4.44,All-Rounder,
Oval Invincibles,D Ferreira,2024-2024,1779,82*,26.95,0,19,'3/23,25.73,0,57,8,1.21,All-Rounder,
Oval Invincibles,DJ Malan,2024-2024,9925,117,33.3,5,23,'2/10,31.39,0,126,0,1.91,All-Rounder,
Oval Invincibles,DR Briggs,2022-2023,291,35*,11.19,0,290,'5/19,21.37,1,48,0,-10.18,Bowler,
Oval Invincibles,H Klaasen,2023-2023,5458,104*,31.54,2,1,'1/12,68,0,122,34,-36.45,All-Rounder,
Oval Invincibles,HWR Cartwright,2022-2022,2287,79,27.89,0,4,'2/34,52,0,58,0,-24.1,All-Rounder,
Oval Invincibles,J Clark,2021-2021,1211,60,20.18,0,75,'4/22,29.01,0,45,0,-8.82,All-Rounder,
Oval Invincibles,JA Haynes,2022-2022,990,63,21.52,0,0,0,0,0,13,0,0,Batter,
Oval Invincibles,JDS Neesham,2023-2023,4198,97*,23.71,0,238,'5/22,25.29,1,117,0,-1.58,All-Rounder,
Oval Invincibles,JJ Roy,2021-2023,9974,145*,27.25,6,1,'1/23,39,0,183,0,-11.74,All-Rounder,
Oval Invincibles,JM Cox,2022-2024,2801,94,28.29,0,0,0,0,0,89,7,0,Batter,
Oval Invincibles,LJ Evans,2021-2021,6961,118*,30,3,1,'1/5,35,0,138,1,-4.99,All-Rounder,
Oval Invincibles,ME Milnes,2022-2022,64,14*,8,0,45,'5/22,30.68,1,13,0,-22.68,Bowler,
Oval Invincibles,Mohammad Amir,2024-2024,431,30,7.18,0,374,'6/17,22.44,2,40,0,-15.25,Bowler,
Oval Invincibles,Mohammad Hasnain,2022-2022,113,22,7.06,0,138,'4/25,27.51,0,15,0,-20.45,Bowler,
Oval Invincibles,NA Sowter,2021-2024,246,37*,9.11,0,160,'5/15,22.66,1,54,0,-13.55,Bowler,
Oval Invincibles,P Hatzoglou,2022-2022,85,15,17,0,63,'3/14,29.49,0,19,0,-12.49,Bowler,
Oval Invincibles,PR Brown,2022-2022,64,10*,8,0,127,'4/21,23.88,0,32,0,-15.88,Bowler,
Oval Invincibles,PR Stirling,2023-2023,8599,119,24.85,3,77,'4/10,28.48,0,103,0,-3.62,All-Rounder,
Oval Invincibles,RA Whiteley,2023-2023,3364,91*,22.57,0,10,'3/23,31.6,0,86,0,-9.02,All-Rounder,
Oval Invincibles,RJW Topley,2021-2022,117,14*,11.7,0,230,'4/20,23.2,0,38,0,-11.5,Bowler,
Oval Invincibles,RR Rossouw,2022-2022,9305,121,29.63,9,3,'1/3,10.66,0,157,0,18.96,All-Rounder,
Oval Invincibles,S Mahmood,2021-2024,0,0,0,0,0,'0,0,0,0,0,,Bowler,
Oval Invincibles,SH Johnson,2023-2024,90,27,8.18,0,85,'5/26,22.94,1,19,0,-14.75,Bowler,
Oval Invincibles,SM Curran,2021-2024,4185,102*,23.77,1,255,'5/10,29.13,4,105,0,-5.35,All-Rounder,
Oval Invincibles,SP Narine,2021-2023,4591,109,15.61,1,584,'5/19,21.76,1,120,0,-6.15,All-Rounder,
Oval Invincibles,SW Billings,2021-2024,6997,106,24.21,1,0,0,0,0,223,31,0,Batter,
Oval Invincibles,T Shamsi,2021-2021,88,15*,4.19,0,328,'5/24,22.51,1,39,0,-18.32,Bowler,
Oval Invincibles,TA Lammonby,2024-2024,904,90,18.83,0,15,'2/32,30.53,0,44,0,-11.69,All-Rounder,
Oval Invincibles,TK Curran,2021-2024,2144,67*,21.87,0,237,'4/22,25.34,0,63,0,-3.46,All-Rounder,
Oval Invincibles,TS Muyeye,2023-2024,721,73,18.97,0,0,0,0,0,18,0,0,Batter,
Oval Invincibles,WG Jacks,2021-2024,5285,108*,28.11,4,69,'4/15,22.52,0,92,0,5.58,All-Rounder,
Oval Invincibles,ZJ Chappell,2023-2023,165,18*,10.31,0,81,'5/23,20.83,1,14,0,-10.52,Bowler,
Southern Brave,ADS Fletcher,2024-2024,7914,103*,28.46,3,3,'2/22,26.33,0,162,23,2.13,All-Rounder,
Southern Brave,AJ Hosein,2024-2024,941,44*,15.42,0,188,'5/11,25.5,1,44,0,-10.07,All-Rounder,
Southern Brave,AL Davies,2021-2024,3042,94*,23.76,0,0,0,0,0,88,28,0,Batter,
Southern Brave,C Overton,2021-2024,508,42,14.51,0,120,'4/25,25.92,0,80,0,-11.41,All-Rounder,
Southern Brave,C de Grandhomme,2021-2021,4110,86,22.96,0,81,'3/4,39.13,0,103,0,-16.17,All-Rounder,
Southern Brave,CJ Jordan,2021-2024,2380,73,17.12,0,419,'4/6,27.39,0,201,0,-10.26,All-Rounder,
Southern Brave,CN Ackermann,2023-2023,4311,90*,26.28,0,93,'7/18,27.86,1,91,0,-1.57,All-Rounder,
Southern Brave,D Moriarty,2022-2022,41,9*,10.25,0,46,'4/25,26.93,0,4,0,-16.68,Bowler,
Southern Brave,DMW Rawlins,2021-2021,1809,91,25.84,0,54,'4/10,21.37,0,53,0,4.47,All-Rounder,
Southern Brave,DP Conway,2021-2023,6394,105*,40.98,2,3,'1/10,47,0,91,9,-6.01,All-Rounder,
Southern Brave,DP Hughes,2024-2024,3006,96*,29.76,0,0,0,0,0,37,0,0,Batter,
Southern Brave,DR Briggs,2021-2024,291,35*,11.19,0,290,'5/19,21.37,1,48,0,-10.18,Bowler,
Southern Brave,FH Allen,2023-2023,4029,137,28.37,3,0,0,0,0,68,2,0,Batter,
Southern Brave,GHS Garton,2021-2023,675,46,15.34,0,88,'4/16,26.14,0,26,0,-10.8,All-Rounder,
Southern Brave,JB Lintott,2021-2022,236,41,10.26,0,105,'4/20,22.59,0,41,0,-12.32,Bowler,
Southern Brave,JC Archer,2024-2024,708,36,14.44,0,214,'4/18,23.94,0,49,0,-9.49,All-Rounder,
Southern Brave,JJ Weatherley,2023-2023,1830,71,28.15,0,0,0,0,0,30,0,0,Batter,
Southern Brave,JK Fuller,2022-2023,1893,57,20.13,0,173,'6/28,25.84,1,81,0,-5.7,All-Rounder,
Southern Brave,JL du Plooy,2023-2024,3609,92,29.58,0,14,'4/15,21.57,0,71,0,8.01,All-Rounder,
Southern Brave,JM Coles,2024-2024,520,69*,24.76,0,22,'4/12,25.22,0,18,0,-0.46,All-Rounder,
Southern Brave,JM Vince,2021-2024,11941,129*,32.18,7,3,'1/5,29,0,232,0,3.18,All-Rounder,
Southern Brave,KA Pollard,2024-2024,13537,104,31.33,1,326,'4/15,24.95,0,384,0,6.37,All-Rounder,
Southern Brave,LA Dawson,2021-2021,2817,82,17.94,0,237,'5/17,25.95,1,115,0,-8.01,All-Rounder,
Southern Brave,LJ Evans,2024-2024,6961,118*,30,3,1,'1/5,35,0,138,1,-4.99,All-Rounder,
Southern Brave,MD Fisher,2023-2023,61,19,8.71,0,46,'5/22,27.1,1,12,0,-18.39,Bowler,
Southern Brave,MG Hogan,2022-2022,84,17*,8.4,0,154,'5/17,23.21,2,52,0,-14.81,Bowler,
Southern Brave,MJ Santner,2023-2023,2374,92*,22.82,0,220,'4/11,24.43,0,86,0,-1.6,All-Rounder,
Southern Brave,MP Stoinis,2022-2022,6510,147*,29.86,2,158,'4/15,27.17,0,77,0,2.69,All-Rounder,
Southern Brave,PR Stirling,2021-2022,8599,119,24.85,3,77,'4/10,28.48,0,103,0,-3.62,All-Rounder,
Southern Brave,Q de Kock,2021-2022,10831,140*,31.48,7,0,0,0,0,267,57,0,Batter,
Southern Brave,RA Whiteley,2021-2022,3364,91*,22.57,0,10,'3/23,31.6,0,86,0,-9.02,All-Rounder,
Southern Brave,Rehan Ahmed,2022-2024,450,49,13.23,0,59,'4/22,29.71,0,14,0,-16.47,Bowler,
Southern Brave,S Baker,2022-2022,0,0,0,0,0,'0,0,0,0,0,,Bowler,
Southern Brave,TH David,2021-2023,5338,92*,30.32,0,15,'1/0,64.06,0,158,0,-33.73,All-Rounder,
Southern Brave,TS Mills,2021-2024,160,27,5.71,0,289,'4/13,23.23,0,38,0,-17.52,Bowler,
Trent Rockets,A Lyth,2024-2024,4817,161,24.82,1,25,'5/31,27.36,1,102,0,-2.53,All-Rounder,
Trent Rockets,AD Hales,2021-2024,13610,119*,30.04,7,0,0,0,0,236,0,0,Batter,
Trent Rockets,C Munro,2022-2023,11223,114*,30.16,5,31,'4/15,32.8,0,131,0,-2.63,All-Rounder,
Trent Rockets,CG Harrison,2024-2024,227,23,10.31,0,53,'5/11,22.45,1,29,0,-12.13,Bowler,
Trent Rockets,CJ Green,2024-2024,1673,50,16.24,0,203,'5/32,27.15,1,134,0,-10.9,All-Rounder,
Trent Rockets,DJ Malan,2021-2023,9925,117,33.3,5,23,'2/10,31.39,0,126,0,1.91,All-Rounder,
Trent Rockets,DJM Short,2021-2021,4850,122*,32.33,2,65,'5/21,32.61,1,68,0,-0.28,All-Rounder,
Trent Rockets,DR Sams,2022-2023,1964,98*,16.78,0,218,'5/30,24.46,1,70,0,-7.68,All-Rounder,
Trent Rockets,IA Cockbain,2022-2022,3869,123,31.97,1,0,0,0,0,75,0,0,Batter,
Trent Rockets,IS Sodhi,2023-2023,469,51,8.22,0,310,'6/11,24.58,1,69,0,-16.35,Bowler,
Trent Rockets,Imad Wasim,2023-2024,4115,92*,21.88,0,356,'5/14,24.43,2,106,0,-2.54,All-Rounder,
Trent Rockets,JA Thompson,2024-2024,1087,74,16.72,0,119,'5/21,24.76,1,40,0,-8.04,All-Rounder,
