Player Name,Role,Team
Will Jacks,Batting Allrounder,Mumbai Indians
Ashwani Kumar,Bowler,Mumbai Indians
Trent Boult,Bowler,Mumbai Indians
Jasprit Bumrah,Bowler,Mumbai Indians
Deepak Chahar,Bowler,Mumbai Indians
Richard Gleeson,Bowler,Mumbai Indians
Mujeeb Ur Rahman,Bowler,Mumbai Indians
Satyanarayana Raju,Bowler,Mumbai Indians
Karn Sharma,Bowler,Mumbai Indians
Raghu Sharma,Bowler,Mumbai Indians
Arjun Tendulkar,Bowler,Mumbai Indians
Reece Topley,Bowler,Mumbai Indians
AM Ghazanfar,Bowler,Mumbai Indians
Vignesh Puthur,Bowler,Mumbai Indians
Lizaad Williams,Bowler,Mumbai Indians
Shreyas Iyer,Top order Batter,Punjab Kings
Priyansh Arya,Opening Batter,Punjab Kings
Pyla Avinash,Batter,Punjab Kings
Harnoor Singh,Batter,Punjab Kings
Josh Inglis,Wicketkeeper Batter,Punjab Kings
Mitchell Owen,Middle order Batter,Punjab Kings
Prabhsimran Singh,Wicketkeeper Batter,Punjab Kings
Vishnu Vinod,Wicketkeeper Batter,Punjab Kings
Nehal Wadhera,Top order Batter,Punjab Kings
Azmatullah Omarzai,Allrounder,Punjab Kings
Aaron Hardie,Allrounder,Punjab Kings
Marco Jansen,Bowling Allrounder,Punjab Kings
Musheer Khan,Allrounder,Punjab Kings
Shashank Singh,Batting Allrounder,Punjab Kings
Marcus Stoinis,Batting Allrounder,Punjab Kings
Suryansh Shedge,Batting Allrounder,Punjab Kings
Glenn Maxwell,Batting Allrounder,Punjab Kings
Arshdeep Singh,Bowler,Punjab Kings
Xavier Bartlett,Bowler,Punjab Kings
Yuzvendra Chahal,Bowler,Punjab Kings
Praveen Dubey,Bowler,Punjab Kings
Harpreet Brar,Bowler,Punjab Kings
Kyle Jamieson,Bowler,Punjab Kings
Kuldeep Sen,Bowler,Punjab Kings
Vijaykumar Vyshak,Bowler,Punjab Kings
Yash Thakur,Bowler,Punjab Kings
Lockie Ferguson,Bowler,Punjab Kings
Sanju Samson,Wicketkeeper Batter,Rajasthan Royals
Shubham Dubey,Middle order Batter,Rajasthan Royals
Shimron Hetmyer,Middle order Batter,Rajasthan Royals
Yashasvi Jaiswal,Opening Batter,Rajasthan Royals
Dhruv Jurel,Wicketkeeper Batter,Rajasthan Royals
Riyan Parag,Top order Batter,Rajasthan Royals
Lhuan-dre Pretorius,Wicketkeeper Batter,Rajasthan Royals
Kunal Singh Rathore,Wicketkeeper Batter,Rajasthan Royals
Vaibhav Suryavanshi,Top order Batter,Rajasthan Royals
Nitish Rana,Middle order Batter,Rajasthan Royals
Wanindu Hasaranga,Allrounder,Rajasthan Royals
Ashok Sharma,Bowler,Rajasthan Royals
Tushar Deshpande,Bowler,Rajasthan Royals
Fazalhaq Farooqi,Bowler,Rajasthan Royals
Kumar Kartikeya,Bowler,Rajasthan Royals
Akash Madhwal,Bowler,Rajasthan Royals
Kwena Maphaka,Bowler,Rajasthan Royals
Maheesh Theekshana,Bowler,Rajasthan Royals
Yudhvir Singh,Bowler,Rajasthan Royals
Jofra Archer,Bowler,Rajasthan Royals
Nandre Burger,Bowler,Rajasthan Royals
Sandeep Sharma,Bowler,Rajasthan Royals
Rajat Patidar,Top order Batter,Royal Challengers Bengaluru
Mayank Agarwal,Batter,Royal Challengers Bengaluru
Swastik Chikara,Batter,Royal Challengers Bengaluru
Tim David,Middle order Batter,Royal Challengers Bengaluru
Virat Kohli,Top order Batter,Royal Challengers Bengaluru
Phil Salt,Wicketkeeper Batter,Royal Challengers Bengaluru
Tim Seifert,Wicketkeeper Batter,Royal Challengers Bengaluru
Jitesh Sharma,Wicketkeeper Batter,Royal Challengers Bengaluru
Devdutt Padikkal,Top order Batter,Royal Challengers Bengaluru
Manoj Bhandage,Allrounder,Royal Challengers Bengaluru
Liam Livingstone,Batting Allrounder,Royal Challengers Bengaluru
Mohit Rathee,Allrounder,Royal Challengers Bengaluru
Krunal Pandya,Allrounder,Royal Challengers Bengaluru
Romario Shepherd,Bowling Allrounder,Royal Challengers Bengaluru
Jacob Bethell,Batting Allrounder,Royal Challengers Bengaluru
Abhinandan Singh,Bowler,Royal Challengers Bengaluru
Josh Hazlewood,Bowler,Royal Challengers Bengaluru
Bhuvneshwar Kumar,Bowler,Royal Challengers Bengaluru
Blessing Muzarabani,Bowler,Royal Challengers Bengaluru
Rasikh Salam,Bowler,Royal Challengers Bengaluru
Suyash Sharma,Bowler,Royal Challengers Bengaluru
Swapnil Singh,Bowler,Royal Challengers Bengaluru
Nuwan Thushara,Bowler,Royal Challengers Bengaluru
Yash Dayal,Bowler,Royal Challengers Bengaluru
Lungi Ngidi,Bowler,Royal Challengers Bengaluru
Travis Head,Top order Batter,Sunrisers Hyderabad
Ishan Kishan,Wicketkeeper Batter,Sunrisers Hyderabad
Heinrich Klaasen,Wicketkeeper Batter,Sunrisers Hyderabad
Sachin Baby,Batter,Sunrisers Hyderabad
Aniket Verma,Batter,Sunrisers Hyderabad
Ravichandran Smaran,Batter,Sunrisers Hyderabad
Abhishek Sharma,Batting Allrounder,Sunrisers Hyderabad
Harsh Dubey,Bowling Allrounder,Sunrisers Hyderabad
Abhinav Manohar,Batting Allrounder,Sunrisers Hyderabad
Kamindu Mendis,Allrounder,Sunrisers Hyderabad
Nitish Kumar Reddy,Batting Allrounder,Sunrisers Hyderabad
Atharva Taide,Batting Allrounder,Sunrisers Hyderabad
Brydon Carse,Bowling Allrounder,Sunrisers Hyderabad
Wiaan Mulder,Allrounder,Sunrisers Hyderabad
Pat Cummins,Bowler,Sunrisers Hyderabad
Rahul Chahar,Bowler,Sunrisers Hyderabad
Eshan Malinga,Bowler,Sunrisers Hyderabad
Mohammed Shami,Bowler,Sunrisers Hyderabad
Harshal Patel,Bowler,Sunrisers Hyderabad
Simarjeet Singh,Bowler,Sunrisers Hyderabad
Jaydev Unadkat,Bowler,Sunrisers Hyderabad
Zeeshan Ansari,Bowler,Sunrisers Hyderabad
Adam Zampa,Bowler,Sunrisers Hyderabad
